"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2023","2,005.78","1,972.90","2,009.48","1,953.50","","1.25%"
"10/15/2023","1,981.04","1,929.30","1,997.27","1,907.65","","2.55%"
"10/08/2023","1,931.70","1,832.74","1,933.76","1,832.63","","5.43%"
"10/01/2023","1,832.26","1,848.13","1,849.06","1,810.10","","-0.87%"
"09/24/2023","1,848.31","1,925.24","1,927.26","1,846.34","","-3.98%"
"09/17/2023","1,924.99","1,924.19","1,947.80","1,913.40","","0.07%"
"09/10/2023","1,923.57","1,919.16","1,930.94","1,900.95","","0.30%"
"09/03/2023","1,917.81","1,940.49","1,946.42","1,914.80","","-1.08%"
"08/27/2023","1,938.80","1,916.09","1,953.44","1,912.83","","1.27%"
"08/20/2023","1,914.53","1,889.40","1,923.94","1,884.50","","1.39%"
"08/13/2023","1,888.19","1,913.67","1,916.55","1,884.50","","-1.31%"
"08/06/2023","1,913.32","1,942.59","1,946.81","1,910.94","","-1.46%"
"07/30/2023","1,941.62","1,959.49","1,972.44","1,929.40","","-0.90%"
"07/23/2023","1,959.20","1,962.09","1,982.24","1,942.61","","-0.05%"
"07/16/2023","1,960.23","1,954.90","1,987.59","1,945.82","","0.27%"
"07/09/2023","1,954.93","1,925.19","1,963.84","1,912.68","","1.59%"
"07/02/2023","1,924.28","1,919.40","1,935.17","1,902.68","","0.25%"
"06/25/2023","1,919.57","1,924.30","1,933.48","1,893.01","","-0.09%"
"06/18/2023","1,921.36","1,957.99","1,958.93","1,910.24","","-1.84%"
"06/11/2023","1,957.36","1,960.25","1,970.74","1,925.30","","-0.17%"
"06/04/2023","1,960.60","1,947.59","1,973.09","1,938.14","","0.67%"
"05/28/2023","1,947.63","1,944.09","1,983.52","1,932.08","","0.07%"
"05/21/2023","1,946.33","1,977.80","1,985.30","1,936.84","","-1.53%"
"05/14/2023","1,976.56","2,011.72","2,022.20","1,951.97","","-1.72%"
"05/07/2023","2,011.15","2,015.95","2,048.22","2,001.05","","-0.27%"
"04/30/2023","2,016.54","1,991.34","2,073.29","1,977.05","","1.35%"
"04/23/2023","1,989.65","1,981.34","2,009.51","1,973.74","","0.34%"
"04/16/2023","1,982.89","2,001.85","2,015.13","1,969.28","","-1.01%"
"04/09/2023","2,003.04","2,008.30","2,048.84","1,981.59","","-0.25%"
"04/02/2023","2,008.02","1,970.84","2,032.20","1,949.82","","2.04%"
"03/26/2023","1,967.90","1,977.66","1,987.84","1,943.68","","-0.47%"
"03/19/2023","1,977.22","1,987.59","2,010.19","1,934.33","","-0.54%"
"03/12/2023","1,987.93","1,869.01","1,989.80","1,869.01","","6.43%"
"03/05/2023","1,867.83","1,855.35","1,870.28","1,809.40","","0.69%"
"02/26/2023","1,854.97","1,812.01","1,856.47","1,804.65","","2.44%"
"02/19/2023","1,810.81","1,842.73","1,847.86","1,808.91","","-1.67%"
"02/12/2023","1,841.59","1,865.69","1,871.03","1,818.34","","-1.24%"
"02/05/2023","1,864.67","1,865.17","1,890.69","1,852.69","","-0.05%"
"01/29/2023","1,865.53","1,928.40","1,959.77","1,861.41","","-3.21%"
"01/22/2023","1,927.34","1,926.20","1,949.27","1,911.44","","0.04%"
"01/15/2023","1,926.57","1,920.39","1,937.72","1,896.56","","0.33%"
"01/08/2023","1,920.21","1,865.45","1,922.24","1,864.59","","2.92%"
"01/01/2023","1,865.71","1,823.85","1,870.37","1,823.85","","2.26%"
"12/25/2022","1,824.40","1,798.57","1,833.39","1,796.16","","1.47%"
"12/18/2022","1,797.91","1,793.13","1,824.39","1,783.48","","0.31%"
"12/11/2022","1,792.34","1,797.35","1,824.87","1,772.00","","-0.24%"
"12/04/2022","1,796.63","1,797.92","1,810.33","1,765.32","","-0.07%"
"11/27/2022","1,797.82","1,755.00","1,804.93","1,738.98","","2.37%"
"11/20/2022","1,756.14","1,750.82","1,761.58","1,728.25","","0.37%"
"11/13/2022","1,749.74","1,771.42","1,786.68","1,747.04","","-1.18%"
"11/06/2022","1,770.69","1,681.30","1,773.17","1,664.32","","5.38%"
"10/30/2022","1,680.27","1,643.69","1,682.17","1,616.18","","2.35%"
"10/23/2022","1,641.76","1,658.19","1,675.12","1,637.39","","-0.90%"
"10/16/2022","1,656.66","1,644.09","1,668.69","1,617.21","","0.91%"
"10/09/2022","1,641.76","1,696.80","1,700.33","1,639.90","","-3.11%"
"10/02/2022","1,694.52","1,661.30","1,729.73","1,659.10","","2.10%"
"09/25/2022","1,659.67","1,645.40","1,675.57","1,614.35","","1.01%"
"09/18/2022","1,643.09","1,675.44","1,688.15","1,639.59","","-1.90%"
"09/11/2022","1,674.94","1,717.05","1,735.37","1,653.85","","-2.40%"
"09/04/2022","1,716.05","1,712.99","1,729.94","1,690.90","","0.27%"
"08/28/2022","1,711.44","1,736.19","1,745.63","1,688.35","","-1.46%"
"08/21/2022","1,736.86","1,747.05","1,765.93","1,727.51","","-0.63%"
"08/14/2022","1,747.83","1,802.05","1,802.53","1,745.19","","-2.99%"
"08/07/2022","1,801.76","1,773.57","1,807.90","1,770.94","","1.56%"
"07/31/2022","1,774.15","1,765.05","1,795.29","1,754.33","","0.51%"
"07/24/2022","1,765.22","1,728.15","1,768.17","1,711.46","","2.25%"
"07/17/2022","1,726.46","1,707.94","1,739.28","1,680.78","","1.15%"
"07/10/2022","1,706.78","1,742.86","1,745.54","1,697.48","","-2.01%"
"07/03/2022","1,741.82","1,812.27","1,814.36","1,731.75","","-3.78%"
