date,today_state_of_the_economy,tomorrow_state_of_the_economy,next_week_state_of_the_economy,direction,magnitude
2017-08-27,0,0,-65.5,UP,2.62
2017-09-03,0,0,-7.86,UP,1.64
2017-09-10,0,0,-65.5,DOWN,2.01
2017-09-17,0,0,-65.5,DOWN,1.69
2017-09-24,0,0,-12.62,DOWN,1.38
2017-10-01,0,0,29.29,DOWN,0.27
2017-10-08,0,0,65.5,UP,2.26
2017-10-15,0,0,5.5,DOWN,1.85
2017-10-22,0,0,12.62,DOWN,0.58
2017-10-29,0,0,-22.33,DOWN,0.27
2017-11-05,0,0,-15.8,UP,0.5
2017-11-12,0,0,-5.5,UP,1.43
2017-11-26,0,0,-8.22,DOWN,0.62
2017-12-03,0,0,7.83,DOWN,2.51
2017-12-10,0,-64,-14.9,UP,0.57
2017-12-17,0,0,65.5,UP,1.57
2017-12-24,0,0,31.78,UP,2.16
2017-12-31,0,0,-26.17,UP,1.36
2018-01-07,0,0,-5.5,UP,1.38
2018-01-14,0,0,5.5,DOWN,0.49
2018-01-21,0,0,-3.38,UP,1.38
2018-01-28,0,0,-17.67,DOWN,1.27
2018-02-04,0,0,1.83,DOWN,1.22
2018-02-11,0,0,5.5,UP,2.37
2018-02-18,0,0,-65.5,DOWN,1.4
2018-02-25,0,0,-19.38,DOWN,0.51
2018-03-04,0,0,-15.4,UP,0.11
2018-03-11,0,0,29.67,DOWN,0.73
2018-03-18,0,0,-14.9,UP,2.53
2018-03-25,0,0,6.58,DOWN,1.65
2018-04-01,0,0,-0.83,UP,0.62
2018-04-08,0,0,65.5,UP,0.92
2018-04-15,0,0,65.5,DOWN,0.77
2018-04-22,0,0,19.46,DOWN,0.92
2018-04-29,0,68.3,-27.86,DOWN,0.59
2018-05-06,0,0,5.5,UP,0.24
2018-05-13,0,0,-5.5,DOWN,1.95
2018-05-20,0,0,37.25,UP,0.7
2018-05-27,0,0,-67.5,DOWN,0.65
2018-06-03,0,0,53.5,UP,0.43
2018-06-10,0,0,-5.5,DOWN,1.46
2018-06-17,0,0,32.43,DOWN,0.83
2018-06-24,0,0,-18.2,DOWN,1.28
2018-07-01,0,0,9.57,UP,0.16
2018-07-08,0,0,5.5,DOWN,1.07
2018-07-15,0,0,5.5,DOWN,0.79
2018-07-22,0,0,-2.35,DOWN,0.68
2018-07-29,0,0,-22.83,DOWN,0.81
2018-08-05,0,0,5.5,DOWN,0.18
2018-08-12,0,0,-65.5,DOWN,2.19
2018-08-19,0,0,32.43,UP,1.79
2018-08-26,0,0,17.65,DOWN,0.4
2018-09-02,0,0,2.83,DOWN,0.44
2018-09-09,0,0,-65.5,DOWN,0.18
2018-09-16,0,0,12.75,UP,0.49
2018-09-23,0,0,-11.73,DOWN,0.62
2018-09-30,0,0,21.5,UP,0.9
2018-10-07,0,0,-25,UP,1.25
2018-10-14,0,0,-65.5,UP,0.69
2018-10-21,0,0,25.8,UP,0.59
2018-10-28,0,0,-25,DOWN,0.06
2018-11-04,0,0,5,DOWN,1.89
2018-11-11,0,0,65.5,UP,0.98
2018-11-18,0,0,13.1,UP,0.14
2018-11-25,0,0,0.25,DOWN,0.1
2018-12-02,0,0,-12.43,UP,2.14
2018-12-09,0,64,13.83,DOWN,0.79
2018-12-16,0,0,71,UP,1.43
2018-12-23,0,0,25,UP,1.97
2018-12-30,0,0,-0.75,UP,0.32
2019-01-06,0,0,-67.75,UP,0.21
2019-01-13,0,0,5.5,DOWN,0.5
2019-01-20,0,0,-70.2,UP,1.72
2019-01-27,0,0,65.5,UP,1.13
2019-02-03,0,0,-10.71,DOWN,0.3
2019-02-10,0,0,65.5,UP,0.53
2019-02-17,0,0,-60.43,UP,0.51
2019-02-24,0,0,28.6,DOWN,2.59
2019-03-03,0,0,-39,UP,0.36
2019-03-10,0,0,65.5,UP,0.24
2019-03-17,0,0,-66.9,UP,0.92
2019-03-24,0,0,15.25,DOWN,1.62
2019-03-31,0,0,2.5,DOWN,0.05
2019-04-07,0,0,-65.5,DOWN,0.1
2019-04-14,0,0,-65.5,DOWN,1.16
2019-04-21,0,0,-0.57,UP,0.85
2019-04-28,0,-86.3,27.86,DOWN,0.54
2019-05-05,0,0,65.5,UP,0.52
2019-05-12,0,0,-65.5,DOWN,0.66
2019-05-19,0,0,32.43,UP,0.59
2019-05-26,0,0,0.25,UP,1.6
2019-06-02,0,0,20.83,UP,2.69
2019-06-09,0,64,65.5,UP,0.08
2019-06-16,0,0,-13.1,UP,4.27
2019-06-23,0,0,70.2,UP,0.75
2019-06-30,0,0,31.25,DOWN,0.68
2019-07-07,0,0,5.5,UP,1.14
2019-07-14,0,0,5.5,UP,0.67
2019-07-21,0,0,-32.45,DOWN,0.46
2019-07-28,0,0,39,UP,1.56
2019-08-04,0,0,-20.33,UP,3.91
2019-08-11,0,0,65.5,UP,1.13
2019-08-18,0,0,-65.5,UP,0.82
2019-08-25,0,0,34.2,DOWN,0.41
2019-09-01,0,0,20.5,DOWN,0.87
2019-09-08,0,0,-29.67,DOWN,1.21
2019-09-15,0,0,13.15,UP,1.9
2019-09-22,0,0,-19.67,DOWN,1.33
2019-09-29,0,0,39,UP,0.52
2019-10-06,0,0,5.5,DOWN,0.99
2019-10-13,0,0,65.5,UP,0.02
2019-10-20,0,0,-43.7,UP,0.98
2019-10-27,0,0,22.33,UP,0.61
2019-11-03,0,0,37.75,DOWN,3.64
2019-11-10,0,0,65.5,UP,0.6
2019-11-17,0,0,65.5,DOWN,0.35
2019-11-24,0,0,-18.2,UP,0.13
2019-12-01,0,0,-11.8,DOWN,0.3
2019-12-08,0,0,-40.33,UP,1.1
2019-12-15,0,0,60,UP,0.16
2019-12-22,0,0,5.5,UP,2.2
2019-12-29,0,0,3.33,UP,2.71
2020-01-05,0,0,26.17,UP,0.69
2020-01-12,0,0,5.5,DOWN,0.37
2020-01-19,0,0,72.43,UP,0.91
2020-01-26,0,0,18.46,UP,1.24
2020-02-02,0,0,15,DOWN,1.25
2020-02-09,0,0,-67,UP,0.92
2020-02-16,0,0,32.43,UP,3.72
2020-02-23,0,0,-46.2,DOWN,3.56
2020-03-01,0,0,-39.8,UP,5.62
2020-03-08,0,0,-65,DOWN,8.64
2020-03-15,0,0,-60,DOWN,2.07
2020-03-22,0,0,-48.05,UP,8
2020-03-29,0,0,-10.71,DOWN,0.06
2020-04-05,0,0,-5.5,UP,4.48
2020-04-12,0,0,-5.5,DOWN,0.28
2020-04-19,0,0,-32.43,UP,2.57
2020-04-26,0,0,-44.32,DOWN,1.64
2020-05-03,0,0,-48.5,UP,0.09
2020-05-10,0,0,-5.5,UP,2.37
2020-05-17,0,0,-32.43,DOWN,0.4
2020-05-24,0,0,45.07,DOWN,0.45
2020-05-31,0,0,9.57,DOWN,2.38
2020-06-07,0,0,65.5,UP,2.64
2020-06-14,0,0,14.9,UP,0.76
2020-06-21,0,0,28.6,UP,1.59
2020-06-28,0,0,-1.25,UP,0.24
2020-07-05,0,0,32.75,UP,1.33
2020-07-12,0,0,65.5,UP,0.59
2020-07-19,0,0,-65.5,UP,5.09
2020-07-26,0,0,-1.4,UP,3.88
2020-08-02,0,0,45.17,UP,3.04
2020-08-09,0,0,65.5,DOWN,4.47
2020-08-16,0,0,72.43,DOWN,0.22
2020-08-23,0,0,11.93,UP,1.29
2020-08-30,0,0,-0.5,DOWN,1.63
2020-09-06,0,0,65.5,UP,0.47
2020-09-13,0,0,65.5,UP,0.42
2020-09-20,0,0,41.93,DOWN,4.6
2020-09-27,0,0,22.33,UP,2.08
2020-10-04,0,0,21.83,UP,1.62
2020-10-11,0,0,-65.5,DOWN,1.58
2020-10-18,0,0,72.43,UP,0.1
2020-10-25,0,0,16.32,DOWN,1.2
2020-11-01,0,0,7.86,UP,3.92
2020-11-08,0,0,65.5,DOWN,3.25
2020-11-15,0,0,14.9,DOWN,0.93
2020-11-22,0,0,11.93,DOWN,4.4
2020-11-29,0,0,-20.5,UP,2.77
2020-12-06,0,0,65.5,UP,0.08
2020-12-13,0,0,25.1,UP,2.26
2020-12-20,0,0,-65.5,DOWN,0.26
2020-12-27,0,0,-68.32,UP,1.19
2021-01-03,0,0,44.2,DOWN,2.63
2021-01-10,0,0,-5.5,DOWN,1.17
2021-01-17,0,0,-32.43,UP,1.42
2021-01-24,0,0,10.2,DOWN,0.35
2021-01-31,0,0,13.4,DOWN,1.87
2021-02-07,0,0,67.75,UP,0.65
2021-02-14,0,0,65.5,DOWN,2.26
2021-02-21,0,0,15.25,DOWN,2.74
2021-02-28,0,0,-0.5,DOWN,1.88
2021-03-07,0,0,65.5,UP,1.5
2021-03-14,0,0,65.5,UP,1.06
2021-03-21,0,0,21.93,DOWN,0.73
2021-03-28,0,0,22.33,DOWN,0.18
2021-04-04,0,0,67.75,UP,0.82
2021-04-11,0,0,5.5,UP,1.91
2021-04-18,0,0,72.43,UP,0.05
2021-04-25,0,0,41.93,DOWN,0.48
2021-05-02,0,0,9.57,UP,3.5
2021-05-09,0,0,60,UP,0.64
2021-05-16,0,0,72.43,UP,2.07
2021-05-23,0,0,58.6,UP,1.19
2021-05-30,0,0,67,DOWN,0.67
2021-06-06,0,0,20.33,DOWN,0.71
2021-06-13,0,0,72.43,DOWN,6.04
2021-06-20,0,0,58.6,UP,0.96
2021-06-27,0,0,65,UP,0.36
2021-07-04,0,0,-1.5,UP,1.19
2021-07-11,0,0,65.5,UP,0.16
2021-07-18,0,0,72.43,DOWN,0.53
2021-07-25,0,0,41.93,UP,0.68
2021-08-01,0,0,-30.43,DOWN,2.81
2021-08-08,0,-64,65.5,UP,0.93
2021-08-15,0,0,5.5,UP,0.1
2021-08-22,0,0,11.93,UP,2.01
2021-08-29,0,0,-14.6,UP,0.52
2021-09-05,0,0,-32.25,DOWN,2.13
2021-09-12,0,0,65.5,DOWN,1.86
2021-09-19,0,0,65.5,DOWN,0.24
2021-09-26,0,0,71.93,UP,0.6
2021-10-03,0,0,-14.6,DOWN,0.21
2021-10-10,0,0,5.5,UP,0.6
2021-10-17,0,0,72.43,UP,1.43
2021-10-24,0,0,58.6,DOWN,0.54
2021-10-31,0,0,49.57,UP,1.9
2021-11-07,0,0,65.5,UP,2.6
2021-11-14,0,0,72.43,DOWN,1.04
2021-11-21,0,0,38.6,DOWN,2.86
2021-11-28,0,0,41.4,DOWN,0.45
2021-12-05,0,0,-19.67,DOWN,0.07
2021-12-12,0,0,78.65,UP,0.85
2021-12-19,0,0,-65.5,UP,0.58
2021-12-26,0,0,15.37,UP,1.12
2022-01-02,0,0,21.83,DOWN,1.79
2022-01-09,0,0,-5.5,UP,1.2
2022-01-16,0,0,25.1,UP,0.88
2022-01-23,0,0,4.5,DOWN,2.3
2022-01-30,0,0,67.75,UP,0.92
2022-02-06,0,0,32.75,UP,2.9
2022-02-13,0,0,72.43,UP,2.04
2022-02-20,0,0,4.93,DOWN,0.54
2022-02-27,0,0,-10.6,UP,4.29
2022-03-06,0,0,18.2,UP,0.86
2022-03-13,0,0,65.5,DOWN,3.23
2022-03-20,0,0,-8.51,UP,1.89
2022-03-27,0,0,5.5,DOWN,1.69
2022-04-03,0,0,48.5,UP,1.12
2022-04-10,0,0,65.5,UP,1.47
2022-04-17,0,0,65.5,DOWN,2.27
2022-04-24,0,0,-11.55,DOWN,1.73
