date,today_state_of_the_economy,tomorrow_state_of_the_economy,next_week_state_of_the_economy,direction,magnitude
2014-09-25,-55,-30,-15.33,UP,0.18
2014-09-26,-30,15,-15.33,UP,0.53
2014-09-29,15,-37.5,-28,DOWN,0.06
2014-09-30,-37.5,-23.33,-28,UP,0.41
2014-10-01,-23.33,-5,-28,UP,0.03
2014-10-02,-5,-7.5,-28,DOWN,0.43
2014-10-03,-7.5,0,-28,UP,1.27
2014-10-06,0,5,1.67,DOWN,0.88
2014-10-07,5,-40,1.67,DOWN,0.30
2014-10-08,-40,-55,1.67,DOWN,0.43
2014-10-09,-55,0,1.67,UP,0.26
2014-10-10,0,0,1.67,UP,0.46
2014-10-13,0,0,8.33,DOWN,0.44
2014-10-14,0,-16.67,8.33,UP,0.34
2014-10-15,-16.67,10,8.33,DOWN,0.78
2014-10-16,10,5,8.33,DOWN,0.23
2014-10-17,5,0,8.33,UP,0.19
2014-10-20,0,40,-4.55,DOWN,0.19
2014-10-21,40,-15,-4.55,UP,0.41
2014-10-22,-15,-5,-4.55,UP,0.52
2014-10-23,-5,50,-4.55,UP,0.12
2014-10-24,50,40,-4.55,DOWN,0.13
2014-10-27,40,-40,1.11,DOWN,0.27
2014-10-28,-40,40,1.11,DOWN,0.11
2014-10-29,40,25,1.11,UP,0.63
2014-10-30,25,-50,1.11,UP,0.23
2014-10-31,-50,-70,1.11,UP,0.89
2014-11-03,-70,50,20,UP,0.45
2014-11-04,50,-26.67,20,DOWN,0.38
2014-11-05,-26.67,55,20,UP,0.53
2014-11-06,55,0,20,UP,0.65
2014-11-07,0,0,20,DOWN,0.42
2014-11-10,0,0,2.5,UP,0.19
2014-11-11,0,0,2.5,DOWN,0.32
2014-11-12,0,-22.5,2.5,UP,0.33
2014-11-13,-22.5,62.5,2.5,DOWN,0.17
2014-11-14,62.5,-10,2.5,DOWN,0.16
2014-11-17,-10,70,27.27,UP,0.46
2014-11-18,70,-16.67,27.27,DOWN,0.40
2014-11-19,-16.67,5,27.27,UP,0.08
2014-11-20,5,0,27.27,DOWN,0.07
2014-11-21,0,0,27.27,UP,0.82
2014-11-24,0,26.67,7.78,DOWN,0.18
2014-11-25,26.67,27.5,7.78,DOWN,0.26
2014-11-26,27.5,0,7.78,DOWN,0.35
2014-11-27,0,0,7.78,UP,0.00
2014-11-28,0,-70,7.78,UP,0.86
2014-12-01,-70,0,-30,DOWN,0.46
2014-12-02,0,26.67,-30,UP,0.80
2014-12-03,26.67,55,-30,UP,0.35
2014-12-04,55,-16.67,-30,DOWN,0.29
2014-12-05,-16.67,0,-30,UP,0.71
2014-12-08,0,40,1.11,DOWN,0.32
2014-12-09,40,-40,1.11,DOWN,0.39
2014-12-10,-40,-42.5,1.11,DOWN,0.47
2014-12-11,-42.5,-32.5,1.11,UP,0.44
2014-12-12,-32.5,50,1.11,DOWN,0.34
2014-12-15,50,-55,-1,UP,0.11
2014-12-16,-55,3.33,-1,DOWN,0.38
2014-12-17,3.33,5,-1,UP,1.15
2014-12-18,5,0,-1,UP,0.11
2014-12-19,0,-40,-1,UP,0.41
2014-12-22,-40,-20,1.11,UP,0.19
2014-12-23,-20,50,1.11,UP,0.32
2014-12-24,50,0,1.11,DOWN,0.10
2014-12-26,0,0,1.11,UP,0.07
2014-12-29,0,16.67,-26.25,UP,0.18
2014-12-30,16.67,6,-26.25,DOWN,0.22
2014-12-31,6,0,-26.25,UP,0.31
2015-01-01,0,-70,-26.25,DOWN,0.17
2015-01-02,-70,0,-26.25,UP,0.90
2015-01-05,0,-80,-0.77,UP,0.33
2015-01-06,-80,-43.33,-0.77,UP,0.13
2015-01-07,-43.33,5,-0.77,UP,0.43
2015-01-08,5,-5,-0.77,UP,0.52
2015-01-09,-5,0,-0.77,DOWN,0.47
2015-01-12,0,40,30,UP,0.04
2015-01-13,40,-60,30,UP,0.36
2015-01-14,-60,18.33,30,DOWN,0.16
2015-01-15,18.33,-10,30,UP,0.21
2015-01-16,-10,0,30,UP,0.18
2015-01-19,0,0,8.18,UP,0.00
2015-01-20,0,-5,8.18,UP,0.57
2015-01-21,-5,50,8.18,DOWN,0.16
2015-01-22,50,40,8.18,UP,1.27
2015-01-23,40,0,8.18,UP,0.72
2015-01-26,0,23.33,-25.45,UP,0.04
2015-01-27,23.33,40,-25.45,DOWN,0.82
2015-01-28,40,23.33,-25.45,UP,0.48
2015-01-29,23.33,-22.5,-25.45,UP,0.33
2015-01-30,-22.5,-66.67,-25.45,UP,0.02
2015-02-02,-66.67,0,38.57,DOWN,0.32
2015-02-03,0,26.67,38.57,DOWN,0.95
2015-02-04,26.67,-53.33,38.57,UP,0.42
2015-02-05,-53.33,0,38.57,DOWN,0.45
2015-02-06,0,0,38.57,UP,2.44
2015-02-09,0,40,-6.36,DOWN,1.46
2015-02-10,40,40,-6.36,UP,0.33
2015-02-11,40,37.5,-6.36,UP,0.23
2015-02-12,37.5,40,-6.36,DOWN,0.94
2015-02-13,40,0,-6.36,UP,0.12
2015-02-16,0,-40,-2.5,UP,0.00
2015-02-17,-40,-20,-2.5,DOWN,0.15
2015-02-18,-20,22.5,-2.5,UP,0.15
2015-02-19,22.5,0,-2.5,UP,0.21
2015-02-20,0,-40,-2.5,DOWN,0.06
2015-02-23,-40,-50,2.31,UP,0.24
2015-02-24,-50,-5,2.31,DOWN,0.08
2015-02-25,-5,-26.67,2.31,DOWN,0.30
2015-02-26,-26.67,30,2.31,UP,1.15
2015-02-27,30,-20,2.31,UP,0.03
2015-03-02,-20,30,50,UP,0.15
2015-03-03,30,-26.67,50,DOWN,0.08
2015-03-04,-26.67,55,50,UP,0.62
2015-03-05,55,7.5,50,UP,0.43
2015-03-06,7.5,0,50,UP,1.28
2015-03-09,0,40,9,DOWN,0.02
2015-03-10,40,40,9,UP,1.06
2015-03-11,40,67.5,9,UP,1.20
2015-03-12,67.5,37.5,9,DOWN,0.36
2015-03-13,37.5,50,9,UP,0.90
2015-03-16,50,-13.33,21.25,DOWN,0.73
2015-03-17,-13.33,40,21.25,DOWN,0.02
2015-03-18,40,-2.5,21.25,DOWN,1.03
2015-03-19,-2.5,0,21.25,UP,0.72
2015-03-20,0,40,21.25,DOWN,1.36
2015-03-23,40,-50,10.71,DOWN,0.90
2015-03-24,-50,40,10.71,UP,0.16
2015-03-25,40,55,10.71,DOWN,0.22
2015-03-26,55,10,10.71,UP,0.47
2015-03-27,10,15,10.71,DOWN,0.15
2015-03-30,15,12.5,-13.33,UP,0.70
2015-03-31,12.5,3.33,-13.33,UP,0.40
2015-04-01,3.33,20,-13.33,DOWN,0.17
2015-04-02,20,0,-13.33,DOWN,0.76
2015-04-03,0,-80,-13.33,DOWN,0.91
2015-04-06,-80,35,36,UP,0.24
2015-04-07,35,40,36,UP,1.08
2015-04-08,40,-55,36,UP,0.11
2015-04-09,-55,0,36,UP,1.25
2015-04-10,0,0,36,UP,0.18
2015-04-13,0,75,-8,UP,0.15
2015-04-14,75,6.67,-8,DOWN,0.76
2015-04-15,6.67,12,-8,DOWN,0.42
2015-04-16,12,53.33,-8,DOWN,0.92
2015-04-17,53.33,0,-8,UP,0.10
2015-04-20,0,0,45.33,UP,0.43
2015-04-21,0,0,45.33,UP,0.06
2015-04-22,0,-13.33,45.33,DOWN,0.07
2015-04-23,-13.33,0,45.33,DOWN,0.66
2015-04-24,0,0,45.33,DOWN,0.37
2015-04-27,0,36.67,15.56,DOWN,0.15
2015-04-28,36.67,32.5,15.56,DOWN,0.70
2015-04-29,32.5,56,15.56,DOWN,0.92
2015-04-30,56,53.33,15.56,DOWN,0.64
2015-05-01,53.33,0,15.56,UP,0.74
2015-05-04,0,0,-28.33,UP,0.19
2015-05-05,0,40,-28.33,DOWN,0.42
2015-05-06,40,-55,-28.33,DOWN,1.04
2015-05-07,-55,85,-28.33,UP,0.58
2015-05-08,85,0,-28.33,UP,0.16
2015-05-11,0,-35,-3.75,UP,0.23
2015-05-12,-35,-66.67,-3.75,DOWN,0.51
2015-05-13,-66.67,-60,-3.75,DOWN,0.96
2015-05-14,-60,27.5,-3.75,DOWN,0.17
2015-05-15,27.5,0,-3.75,DOWN,0.34
2015-05-18,0,55,21.67,UP,1.16
2015-05-19,55,-40,21.67,UP,1.11
2015-05-20,-40,-7.5,21.67,UP,0.19
2015-05-21,-7.5,-70,21.67,DOWN,0.21
2015-05-22,-70,0,21.67,UP,0.90
2015-05-25,0,23.33,17.27,DOWN,0.10
2015-05-26,23.33,-30,17.27,UP,1.34
2015-05-27,-30,7.5,17.27,UP,0.07
2015-05-28,7.5,47.5,17.27,DOWN,0.41
2015-05-29,47.5,0,17.27,DOWN,0.06
2015-06-01,0,30,39,UP,0.50
2015-06-02,30,-32.5,39,DOWN,1.60
2015-06-03,-32.5,55,39,DOWN,0.38
2015-06-04,55,90,39,DOWN,0.01
2015-06-05,90,0,39,UP,0.89
2015-06-08,0,-5,9.09,DOWN,1.05
2015-06-09,-5,-40,9.09,DOWN,0.14
2015-06-10,-40,70,9.09,DOWN,0.55
2015-06-11,70,57.5,9.09,UP,0.35
2015-06-12,57.5,50,9.09,DOWN,0.01
2015-06-15,50,-46.67,-10,DOWN,0.17
2015-06-16,-46.67,-40,-10,UP,0.20
2015-06-17,-40,36,-10,DOWN,0.74
2015-06-18,36,0,-10,DOWN,0.28
2015-06-19,0,40,-10,UP,0.04
2015-06-22,40,-40,18.33,UP,0.27
2015-06-23,-40,-50,18.33,UP,1.17
2015-06-24,-50,0,18.33,DOWN,0.18
2015-06-25,0,40,18.33,DOWN,0.07
2015-06-26,40,-40,18.33,UP,0.29
2015-06-29,-40,22.5,50,DOWN,0.71
2015-06-30,22.5,23.33,50,UP,0.73
2015-07-01,23.33,25,50,UP,0.87
2015-07-02,25,0,50,DOWN,0.21
2015-07-03,0,80,50,UP,0.00
2015-07-06,80,40,8,UP,0.20
2015-07-07,40,40,8,UP,0.58
2015-07-08,40,55,8,DOWN,0.59
2015-07-09,55,0,8,UP,0.33
2015-07-10,0,0,8,DOWN,0.60
2015-07-13,0,-43.33,5,UP,0.86
2015-07-14,-43.33,17.5,5,DOWN,0.23
2015-07-15,17.5,23.33,5,UP,0.55
2015-07-16,23.33,22,5,UP,0.51
2015-07-17,22,0,5,UP,0.19
2015-07-20,0,-30,26.67,UP,0.17
2015-07-21,-30,0,26.67,DOWN,0.71
2015-07-22,0,5,26.67,UP,0.28
2015-07-23,5,50,26.67,DOWN,0.50
2015-07-24,50,0,26.67,UP,0.13
2015-07-27,0,36.67,-10.91,DOWN,0.76
2015-07-28,36.67,40,-10.91,UP,0.28
2015-07-29,40,0,-10.91,UP,0.22
2015-07-30,0,43.33,-10.91,UP,0.60
2015-07-31,43.33,-65,-10.91,DOWN,0.23
2015-08-03,-65,-30,-10,UP,0.15
2015-08-04,-30,12.5,-10,UP,0.45
2015-08-05,12.5,-5,-10,UP,0.03
2015-08-06,-5,0,-10,DOWN,0.13
2015-08-07,0,0,-10,DOWN,0.28
2015-08-10,0,-30,10,DOWN,0.41
2015-08-11,-30,-40,10,UP,0.13
2015-08-12,-40,23.33,10,DOWN,1.06
2015-08-13,23.33,-14,10,UP,0.19
2015-08-14,-14,40,10,UP,0.08
2015-08-17,40,-26.67,31.82,UP,0.30
2015-08-18,-26.67,15,31.82,UP,0.24
2015-08-19,15,27.5,31.82,DOWN,0.70
2015-08-20,27.5,0,31.82,DOWN,0.39
2015-08-21,0,0,31.82,DOWN,1.01
2015-08-24,0,25,-25,DOWN,1.77
2015-08-25,25,40,-25,UP,1.29
2015-08-26,40,22.5,-25,UP,0.60
2015-08-27,22.5,60,-25,UP,0.54
2015-08-28,60,0,-25,UP,0.52
2015-08-31,0,-50,-10,DOWN,0.30
2015-09-01,-50,0,-10,DOWN,0.39
2015-09-02,0,-35,-10,UP,0.40
2015-09-03,-35,-5,-10,UP,0.61
2015-09-04,-5,0,-10,DOWN,0.19
2015-09-07,0,0,10,UP,0.00
2015-09-08,0,-5,10,DOWN,0.26
2015-09-09,-5,50,10,UP,0.03
2015-09-10,50,-57.5,10,DOWN,0.57
2015-09-11,-57.5,0,10,DOWN,0.28
2015-09-14,0,-30,-10,UP,0.06
2015-09-15,-30,55,-10,UP,0.38
2015-09-16,55,32,-10,DOWN,0.20
2015-09-17,32,0,-10,DOWN,0.91
2015-09-18,0,-40,-10,UP,0.33
2015-09-21,-40,-30,-21.54,UP,1.09
2015-09-22,-30,-40,-21.54,UP,0.41
2015-09-23,-40,-20,-21.54,DOWN,0.22
2015-09-24,-20,45,-21.54,UP,0.65
2015-09-25,45,-55,-21.54,DOWN,0.43
2015-09-28,-55,-16.67,8.33,DOWN,0.25
2015-09-29,-16.67,-13.33,8.33,DOWN,0.18
2015-09-30,-13.33,-26.67,8.33,UP,0.51
2015-10-01,-26.67,0,8.33,DOWN,0.17
2015-10-02,0,-80,8.33,DOWN,0.37
2015-10-05,-80,40,-4.29,UP,0.29
2015-10-06,40,40,-4.29,DOWN,0.69
2015-10-07,40,5,-4.29,UP,0.05
2015-10-08,5,0,-4.29,DOWN,0.19
2015-10-09,0,0,-4.29,DOWN,0.54
2015-10-12,0,0,1.43,UP,0.03
2015-10-13,0,-22.5,1.43,DOWN,0.08
2015-10-14,-22.5,6.67,1.43,DOWN,0.88
2015-10-15,6.67,-2.5,1.43,UP,0.47
2015-10-16,-2.5,0,1.43,UP,0.18
2015-10-19,0,13.33,24.67,UP,0.41
2015-10-20,13.33,40,24.67,DOWN,0.02
2015-10-21,40,-23.33,24.67,UP,0.13
2015-10-22,-23.33,0,24.67,UP,1.42
2015-10-23,0,50,24.67,UP,0.78
2015-10-26,50,36.67,-3.33,DOWN,0.28
2015-10-27,36.67,40,-3.33,UP,0.05
2015-10-28,40,4,-3.33,UP,0.90
2015-10-29,4,30,-3.33,DOWN,0.51
2015-10-30,30,-70,-3.33,DOWN,0.34
2015-11-02,-70,0,57,DOWN,0.02
2015-11-03,0,-32.5,57,UP,0.24
2015-11-04,-32.5,-5,57,UP,0.81
2015-11-05,-5,90,57,DOWN,0.01
2015-11-06,90,0,57,UP,1.26
2015-11-09,0,30,38,DOWN,0.19
2015-11-10,30,0,38,UP,0.31
2015-11-11,0,50,38,DOWN,0.28
2015-11-12,50,65,38,DOWN,0.36
2015-11-13,65,40,38,UP,0.35
2015-11-16,40,53.33,15,UP,0.44
2015-11-17,53.33,10,15,UP,0.19
2015-11-18,10,50,15,UP,0.02
2015-11-19,50,0,15,DOWN,0.66
2015-11-20,0,-40,15,UP,0.58
2015-11-23,-40,-13.33,-26.67,UP,0.24
2015-11-24,-13.33,38.33,-26.67,DOWN,0.27
2015-11-25,38.33,0,-26.67,UP,0.27
2015-11-26,0,0,-26.67,UP,0.00
2015-11-27,0,0,-26.67,UP,0.22
2015-11-30,0,50,39,UP,0.15
2015-12-01,50,0,39,DOWN,0.37
2015-12-02,0,-63.33,39,UP,0.19
2015-12-03,-63.33,-76.67,39,DOWN,2.37
2015-12-04,-76.67,0,39,UP,0.75
2015-12-07,0,-5,26.92,UP,0.32
2015-12-08,-5,40,26.92,DOWN,0.19
2015-12-09,40,50,26.92,DOWN,1.15
2015-12-10,50,51.67,26.92,UP,0.62
2015-12-11,51.67,0,26.92,DOWN,0.39
2015-12-14,0,52.5,51,UP,0.04
2015-12-15,52.5,22,51,UP,0.64
2015-12-16,22,7.5,51,DOWN,0.36
2015-12-17,7.5,0,51,UP,1.43
2015-12-18,0,0,51,DOWN,0.57
2015-12-21,0,50,-10,DOWN,0.34
2015-12-22,50,50,-10,DOWN,0.13
2015-12-23,50,55,-10,UP,0.11
2015-12-24,55,0,-10,DOWN,0.37
2015-12-25,0,0,-10,UNCHANGED,0
2015-12-28,0,-3.33,16.67,DOWN,0.06
2015-12-29,-3.33,0,16.67,UP,0.18
2015-12-30,0,-23.33,16.67,UP,0.17
2015-12-31,-23.33,0,16.67,UP,0.37
2016-01-01,0,70,16.67,DOWN,0.05
2016-01-04,70,30,-2.31,UP,0.24
2016-01-05,30,7.5,-2.31,UP,0.54
2016-01-06,7.5,55,-2.31,DOWN,0.22
2016-01-07,55,-90,-2.31,DOWN,0.97
2016-01-08,-90,0,-2.31,UP,0.33
2016-01-11,0,5,27,UP,0.18
2016-01-12,5,-40,27,UP,0.25
2016-01-13,-40,55,27,DOWN,0.04
2016-01-14,55,-13.75,27,UP,0.16
2016-01-15,-13.75,0,27,DOWN,0.13
2016-01-18,0,0,22.31,UP,0.00
2016-01-19,0,24,22.31,UP,0.03
2016-01-20,24,27.5,22.31,UP,0.10
2016-01-21,27.5,40,22.31,DOWN,0.03
2016-01-22,40,0,22.31,UP,0.51
2016-01-25,0,36.67,-0.91,DOWN,0.21
2016-01-26,36.67,45,-0.91,UP,0.00
2016-01-27,45,50,-0.91,DOWN,0.46
2016-01-28,50,-12,-0.91,DOWN,0.39
2016-01-29,-12,0,-0.91,UP,1.12
2016-02-01,0,30,14.29,DOWN,0.60
2016-02-02,30,-26.67,14.29,DOWN,0.14
2016-02-03,-26.67,-5,14.29,DOWN,1.60
2016-02-04,-5,16.67,14.29,DOWN,0.84
2016-02-05,16.67,0,14.29,UP,0.58
2016-02-08,0,35,-2.73,DOWN,0.47
2016-02-09,35,40,-2.73,DOWN,0.52
2016-02-10,40,55,-2.73,DOWN,0.19
2016-02-11,55,-60,-2.73,DOWN,0.34
2016-02-12,-60,0,-2.73,UP,0.40
2016-02-15,0,40,-4.17,UP,0.04
2016-02-16,40,-6,-4.17,UP,0.93
2016-02-17,-6,-27.5,-4.17,DOWN,0.08
2016-02-18,-27.5,70,-4.17,UP,0.17
2016-02-19,70,0,-4.17,DOWN,0.36
2016-02-22,0,-22.5,-3.85,UP,0.81
2016-02-23,-22.5,-45,-3.85,UP,0.10
2016-02-24,-45,-5,-3.85,DOWN,0.02
2016-02-25,-5,35,-3.85,DOWN,0.17
2016-02-26,35,-40,-3.85,UP,0.88
2016-02-29,-40,50,45,UP,0.06
2016-03-01,50,-16.67,45,UP,0.14
2016-03-02,-16.67,10,45,DOWN,0.14
2016-03-03,10,-16.67,45,DOWN,0.63
2016-03-04,-16.67,0,45,DOWN,0.26
2016-03-07,0,30,6.11,DOWN,0.28
2016-03-08,30,40,6.11,UP,0.14
2016-03-09,40,55,6.11,DOWN,0.04
2016-03-10,55,0,6.11,DOWN,1.13
2016-03-11,0,0,6.11,UP,0.10
