iteration,timestamp,accuracy,samples,w_VPRWG,w_ZBEYU,w_GKORG,w_JCDYM,w_LUXEM,w_EEWPQ,w_PIIRP,w_YHIYY,w_MXSBY,w_ASXLP,w_YFVMV,w_FCHGZ,w_RQUMP,w_ISFDE,w_YPAXY,w_LUNIH,w_LIFLX,w_HKJPS,w_WDLPA,w_ZORRY,w_HMUGW,w_ZVAPL,w_ALMVK,w_BRHWF,w_BZLYI,w_IEDWO,w_XWBVZ,w_ZJOIV,w_FLPVV
35,2026-01-09T21:05:13.717174,0.5652173913043478,574,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,5.0,5.0,7.0,5.0,6.0,6.0,7.0,5.0,8.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,2.0,6.0
36,2026-01-09T21:05:21.576407,0.5391304347826087,574,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,8.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,3.0,6.0
37,2026-01-09T21:05:28.042810,0.5391304347826087,574,4.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,2.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,5.0,7.0,5.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,6.0
38,2026-01-09T21:05:34.449912,0.5739130434782609,574,3.0,5.0,5.0,5.0,6.0,5.0,7.0,6.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,8.0,4.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,6.0
39,2026-01-09T21:05:40.876569,0.5652173913043478,574,4.0,4.0,6.0,6.0,5.0,4.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,8.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,6.0
40,2026-01-09T21:05:47.414671,0.4956521739130435,574,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,3.0,3.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,6.0,8.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,3.0,6.0
41,2026-01-09T21:05:53.790046,0.5652173913043478,574,4.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,2.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,9.0,4.0,6.0,6.0,4.0,6.0,7.0,6.0,3.0,6.0
42,2026-01-09T21:06:00.206877,0.5391304347826087,574,4.0,5.0,5.0,6.0,5.0,5.0,6.0,7.0,3.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,8.0,6.0,5.0,6.0,5.0,4.0,7.0,4.0,2.0,5.0
43,2026-01-09T21:06:07.399642,0.46956521739130436,574,4.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,8.0,5.0,6.0,6.0,5.0,5.0,7.0,5.0,3.0,7.0
44,2026-01-09T21:06:13.615637,0.5391304347826087,574,5.0,4.0,5.0,6.0,5.0,6.0,6.0,7.0,4.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,8.0,5.0,6.0,6.0,5.0,6.0,6.0,4.0,3.0,5.0
45,2026-01-09T21:06:19.806292,0.5391304347826087,574,4.0,4.0,6.0,6.0,5.0,5.0,7.0,7.0,3.0,4.0,4.0,6.0,5.0,7.0,4.0,5.0,5.0,7.0,5.0,9.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,2.0,6.0
46,2026-01-09T21:06:26.048740,0.5130434782608696,574,5.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,4.0,4.0,7.0,5.0,8.0,5.0,6.0,6.0,6.0,4.0,6.0,4.0,3.0,5.0
47,2026-01-09T21:06:32.269199,0.5739130434782609,574,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,4.0,4.0,7.0,5.0,6.0,5.0,5.0,5.0,8.0,5.0,8.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,2.0,6.0
48,2026-01-09T21:06:38.491638,0.5391304347826087,574,4.0,4.0,6.0,7.0,4.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,5.0,6.0,4.0,6.0,5.0,7.0,5.0,9.0,6.0,6.0,6.0,5.0,4.0,6.0,5.0,4.0,6.0
49,2026-01-09T21:06:44.708457,0.5391304347826087,574,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,3.0,5.0,4.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0,8.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,6.0
50,2026-01-09T21:06:51.995584,0.4956521739130435,574,4.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,7.0,4.0,8.0,4.0,6.0,6.0,5.0,5.0,7.0,6.0,3.0,6.0
51,2026-01-09T21:06:58.225552,0.5478260869565217,574,4.0,4.0,5.0,7.0,5.0,5.0,6.0,7.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0,5.0,9.0,5.0,5.0,5.0,6.0,6.0,7.0,4.0,3.0,6.0
52,2026-01-09T21:07:04.414958,0.4608695652173913,574,4.0,3.0,6.0,6.0,6.0,4.0,5.0,7.0,3.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,8.0,5.0,6.0,6.0,4.0,4.0,7.0,5.0,3.0,6.0
53,2026-01-09T21:07:10.610583,0.5478260869565217,574,4.0,4.0,4.0,6.0,5.0,5.0,5.0,6.0,3.0,4.0,5.0,5.0,4.0,7.0,5.0,5.0,5.0,8.0,5.0,8.0,5.0,6.0,6.0,4.0,6.0,7.0,4.0,3.0,6.0
54,2026-01-09T21:07:16.976778,0.5739130434782609,574,5.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,2.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,7.0,5.0,8.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,2.0,6.0
55,2026-01-09T21:07:23.309479,0.5217391304347826,574,4.0,4.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,8.0,5.0,8.0,5.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,6.0
